#mH    mA      mC       tb     cba       m122    wh          wH         wA          wC           N    SigmaxBR[fb]     DIRECTORY
125.09  216.2776  216.2776  1.5  0  7221.926815384616  0.00435040581  0.00679846741  0.0187474521  0.989970692  2  352.219852475636  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_216.2776_mC_216.2776_tb_1.5_cba_0_m122_7221.926815384616
125.09  266.2776  266.2776  1.5  0  7221.926815384616  0.00435035516  0.00679846741  1.21769197  4.06956085  2  809.2988991527728  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_266.2776_mC_266.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  266.2776  266.2776  1.5  0  14149.157584615386  0.0043506072  0.0092085955  0.0242115711  2.65544028  2  251.59331603210194  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_266.2776_mC_266.2776_tb_1.5_cba_0_m122_14149.157584615386
125.09  316.2776  316.2776  1.5  0  7221.926815384616  0.00435032731  0.00679846741  3.99559533  8.59699431  2  845.7985655029339  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_316.2776_mC_316.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  316.2776  316.2776  1.5  0  14149.157584615386  0.00435050382  0.0092085955  1.49382008  6.01894447  2  811.2511783374767  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_316.2776_mC_316.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  316.2776  316.2776  1.5  0  23384.08066153846  0.00435074107  0.011739868  0.0389203925  4.29817287  2  174.39838207986867  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_316.2776_mC_316.2776_tb_1.5_cba_0_m122_23384.08066153846
125.09  366.2776  366.2776  1.5  0  7221.926815384616  0.00435031031  0.00679846741  13.2142863  14.6358997  2  746.2231200539718  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_366.2776_mC_366.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  366.2776  366.2776  1.5  0  14149.157584615386  0.00435044097  0.0092085955  9.66141905  11.0401615  2  570.7272530147308  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_366.2776_mC_366.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  366.2776  366.2776  1.5  0  23384.08066153846  0.0043506162  0.011739868  6.51417056  7.79127546  2  282.09407698222185  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_366.2776_mC_366.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  366.2776  366.2776  1.5  0  34926.696046153855  0.00435083692  0.0146252082  4.85363403  5.82817665  2  1.9708669157058774  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_366.2776_mC_366.2776_tb_1.5_cba_0_m122_34926.696046153855
125.09  416.2776  416.2776  1.5  0  7221.926815384616  0.00435029917  0.00679846741  22.0022656  22.4085261  2  392.1712620633852  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_416.2776_mC_416.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  416.2776  416.2776  1.5  0  14149.157584615386  0.00435039984  0.0092085955  17.484478  17.8634562  2  331.34900042483866  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_416.2776_mC_416.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  416.2776  416.2776  1.5  0  23384.08066153846  0.00435053466  0.011739868  12.9054313  13.223585  2  236.00408174181115  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_416.2776_mC_416.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  416.2776  416.2776  1.5  0  34926.696046153855  0.0043507042  0.0146252082  9.21566104  9.4089582  2  103.77633647740262  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_416.2776_mC_416.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  416.2776  416.2776  1.5  0  48777.00373846155  0.00435090911  0.019901618  7.39000849  7.25060683  2  0.5774370462222553  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_416.2776_mC_416.2776_tb_1.5_cba_0_m122_48777.00373846155
125.09  466.2776  466.2776  1.5  0  7221.926815384616  0.00435029147  0.00679846741  32.1042778  32.1657138  2  231.4992902370714  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  466.2776  466.2776  1.5  0  14149.157584615386  0.00435037143  0.0092085955  26.6726069  26.7154022  2  206.66196370885882  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  466.2776  466.2776  1.5  0  23384.08066153846  0.00435047844  0.011739868  20.7551034  20.7573372  2  169.08961516122255  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  466.2776  466.2776  1.5  0  34926.696046153855  0.00435061282  0.0146252082  15.2730497  15.1967363  2  114.56832708281921  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  466.2776  466.2776  1.5  0  48777.00373846155  0.004350775  0.019901618  11.1245782  10.9025549  2  42.68623214779964  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  466.2776  466.2776  1.5  0  64935.00373846156  0.0043509655  0.931634872  9.16379322  8.58397715  2  0.006406394382094003  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_466.2776_mC_466.2776_tb_1.5_cba_0_m122_64935.00373846156
125.09  516.2776  516.2776  1.5  0  7221.926815384616  0.00435028592  0.00679846741  44.2484978  44.1632207  2  142.54315267460137  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  516.2776  516.2776  1.5  0  14149.157584615386  0.00435035099  0.0092085955  37.9374959  37.8388477  2  131.1906664291127  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  516.2776  516.2776  1.5  0  23384.08066153846  0.004350438  0.011739868  30.7438832  30.6164911  2  114.60209262303009  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  516.2776  516.2776  1.5  0  34926.696046153855  0.00435054717  0.0146252082  23.5537814  23.3719656  2  90.78786845954595  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  516.2776  516.2776  1.5  0  48777.00373846155  0.0043506788  0.019901618  17.2790517  17.0018122  2  53.54787710306955  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_48777.00373846155
375.09  516.2776  516.2776  1.5  0  64935.00373846156  0.00435083321  0.931634872  12.739388  12.2978406  2  0.5490764825815656  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_375.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_64935.00373846156
425.09  516.2776  516.2776  1.5  0  83400.69604615387  0.00435101081  2.88380354  10.6661398  9.84563025  2  0.0011820969640252976  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_425.09_mA_516.2776_mC_516.2776_tb_1.5_cba_0_m122_83400.69604615387
125.09  566.2776  566.2776  1.5  0  7221.926815384616  0.00435028179  0.00679846741  58.802912  58.65637  2  90.3832544753725  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_125.09_mA_566.2776_mC_566.2776_tb_1.5_cba_0_m122_7221.926815384616
175.09  566.2776  566.2776  1.5  0  14149.157584615386  0.00435033577  0.0092085955  51.637519  51.4810312  2  84.68999539559827  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_175.09_mA_566.2776_mC_566.2776_tb_1.5_cba_0_m122_14149.157584615386
225.09  566.2776  566.2776  1.5  0  23384.08066153846  0.00435040793  0.011739868  43.2143502  43.0366298  2  76.61062323125952  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_225.09_mA_566.2776_mC_566.2776_tb_1.5_cba_0_m122_23384.08066153846
275.09  566.2776  566.2776  1.5  0  34926.696046153855  0.00435049841  0.0146252082  34.3797116  34.1622292  2  65.25183769069837  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_275.09_mA_566.2776_mC_566.2776_tb_1.5_cba_0_m122_34926.696046153855
325.09  566.2776  566.2776  1.5  0  48777.00373846155  0.0043506074  0.019901618  26.0409156  25.7552031  2  45.52428167833068  /Volumes/LaCie/Signal/14TeV/A_HZ_bbll/tb_1.5/mH_325.09_mA_566.2776_mC_566.2776_tb_1.5_cba_0_m122_48777.00373846155
